"Office Location","Activity Type","Site Name","Pollution Level Detected"
Canberra,"Air Quality Check","Watagan Mountains",484.52
Brisbane,"Air Quality Check","Speers Point Park",484.49
Hobart,"Water Quality Test","Charlestown Park",484.47
Sydney,"Air Quality Check","Merewether Beach",484.44
Sydney,"Soil Quality Test","King Edward Park",484.41
Newcastle,"Water Quality Test","Croudace Bay Park",484.39
Melbourne,"Soil Quality Test","Warners Bay Foreshore",484.33
Brisbane,"Air Quality Check","King Edward Park",484.29
Brisbane,"Water Quality Test","Awaba State Forest",484.28
Perth,"Soil Quality Test","Newcastle Beach",484.19
"Gold Coast","Soil Quality Test","Awaba State Forest",484.15
Melbourne,"Noise Level Measurement","Croudace Bay Park",484.13
Melbourne,"Soil Quality Test","Awaba State Forest",484.12
Darwin,"Air Quality Check","Speers Point Park",484.11
Brisbane,"Noise Level Measurement","Belmont Wetlands State Park",484.09
Perth,"Water Quality Test","Newcastle Beach",484.08
Canberra,"Soil Quality Test","Croudace Bay Park",484.08
Perth,"Water Quality Test","King Edward Park",484.07
Perth,"Water Quality Test","Merewether Beach",484.06
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",484.05
Darwin,"Noise Level Measurement","Speers Point Park",483.89
Perth,"Soil Quality Test","Croudace Bay Park",483.88
Perth,"Water Quality Test","Croudace Bay Park",483.88
Adelaide,"Air Quality Check","King Edward Park",483.81
Melbourne,"Water Quality Test","Charlestown Park",483.79
Darwin,"Water Quality Test","Redhead Beach",483.76
Perth,"Air Quality Check","Waratah Park",483.73
Perth,"Water Quality Test","Heaton State Forest",483.7
Sydney,"Air Quality Check","Toronto Foreshore",483.69
Sydney,"Water Quality Test","Merewether Beach",483.56
Brisbane,"Soil Quality Test","Awaba State Forest",483.51
Brisbane,"Water Quality Test","Redhead Beach",483.5
Melbourne,"Noise Level Measurement","Blackbutt Nature Reserve",483.5
Melbourne,"Noise Level Measurement","Belmont Wetlands State Park",483.47
Canberra,"Water Quality Test","Newcastle Beach",483.47
Newcastle,"Soil Quality Test","Nobbys Beach",483.42
Hobart,"Soil Quality Test","Waratah Park",483.31
Melbourne,"Air Quality Check","Jesmond Park",483.2
Adelaide,"Soil Quality Test","Merewether Beach",483.16
Adelaide,"Soil Quality Test","Redhead Beach",483.09
Perth,"Noise Level Measurement","Charlestown Park",483.09
"Gold Coast","Noise Level Measurement","Merewether Beach",483.08
Melbourne,"Noise Level Measurement","Nobbys Beach",483.06
Canberra,"Noise Level Measurement","Blackbutt Nature Reserve",483.06
Newcastle,"Water Quality Test","Blackbutt Nature Reserve",483.02
Perth,"Water Quality Test","Glenrock State Conservation Area",482.99
Perth,"Water Quality Test","Warners Bay Foreshore",482.96
Brisbane,"Water Quality Test","Belmont Wetlands State Park",482.84
Newcastle,"Soil Quality Test","King Edward Park",482.83
Adelaide,"Air Quality Check","Toronto Foreshore",482.82
Adelaide,"Noise Level Measurement","Braye Park",482.64
Hobart,"Soil Quality Test","Newcastle Beach",482.63
Melbourne,"Water Quality Test","Glenrock State Conservation Area",482.54
Adelaide,"Air Quality Check","Belmont Wetlands State Park",482.52
Melbourne,"Water Quality Test","Waratah Park",482.51
Perth,"Air Quality Check","Blackbutt Nature Reserve",482.44
Darwin,"Water Quality Test","Braye Park",482.44
Hobart,"Noise Level Measurement","Croudace Bay Park",482.44
"Gold Coast","Water Quality Test","Merewether Beach",482.39
Melbourne,"Water Quality Test","King Edward Park",482.21
Perth,"Water Quality Test","Newcastle Beach",482.2
Brisbane,"Air Quality Check","Merewether Beach",482.17
Brisbane,"Air Quality Check","Belmont Wetlands State Park",482.16
Adelaide,"Noise Level Measurement","Redhead Beach",482.15
"Gold Coast","Noise Level Measurement","Mount Sugarloaf",482
Perth,"Noise Level Measurement","Richley Reserve",481.9
Canberra,"Noise Level Measurement","Waratah Park",481.9
Brisbane,"Water Quality Test","Toronto Foreshore",481.88
Canberra,"Air Quality Check","Glenrock State Conservation Area",481.78
Perth,"Noise Level Measurement","Richley Reserve",481.78
Sydney,"Noise Level Measurement","King Edward Park",481.73
Melbourne,"Air Quality Check","Watagan Mountains",481.7
"Gold Coast","Soil Quality Test","Braye Park",481.68
Hobart,"Noise Level Measurement","Blackbutt Nature Reserve",481.64
Brisbane,"Noise Level Measurement","King Edward Park",481.61
Perth,"Noise Level Measurement","Braye Park",481.58
Adelaide,"Air Quality Check","King Edward Park",481.52
Brisbane,"Air Quality Check","Hunter Wetlands Centre",481.47
Canberra,"Water Quality Test","Nobbys Beach",481.37
"Gold Coast","Air Quality Check","Braye Park",481.31
Melbourne,"Noise Level Measurement","Charlestown Park",481.31
Perth,"Water Quality Test","Watagan Mountains",481.29
Brisbane,"Water Quality Test","Braye Park",481.27
Brisbane,"Water Quality Test","Braye Park",481.27
Canberra,"Noise Level Measurement","Glenrock State Conservation Area",481.19
Canberra,"Air Quality Check","Warners Bay Foreshore",481.16
"Gold Coast","Air Quality Check","Lambton Park",481.11
Hobart,"Noise Level Measurement","Newcastle Beach",481.05
Canberra,"Air Quality Check","Nobbys Beach",481.05
Hobart,"Noise Level Measurement","Watagan Mountains",481.02
Brisbane,"Air Quality Check","Mount Sugarloaf",480.92
Newcastle,"Water Quality Test","Nobbys Beach",480.9
Darwin,"Air Quality Check","Newcastle Beach",480.9
Brisbane,"Noise Level Measurement","Hunter Wetlands Centre",480.89
Hobart,"Noise Level Measurement","Heaton State Forest",480.87
"Gold Coast","Soil Quality Test","Blackbutt Nature Reserve",480.87
Newcastle,"Soil Quality Test","Warners Bay Foreshore",480.84
Melbourne,"Noise Level Measurement","Jesmond Park",480.83
Canberra,"Soil Quality Test","Jesmond Park",480.8
Sydney,"Air Quality Check","Braye Park",480.78
Newcastle,"Noise Level Measurement","Glenrock State Conservation Area",480.75
Brisbane,"Soil Quality Test","King Edward Park",480.72
Brisbane,"Water Quality Test","Lambton Park",480.68
Hobart,"Water Quality Test","Nobbys Beach",480.68
Darwin,"Water Quality Test","Speers Point Park",480.63
"Gold Coast","Water Quality Test","Braye Park",480.62
Brisbane,"Soil Quality Test","Redhead Beach",480.57
"Gold Coast","Soil Quality Test","Waratah Park",480.55
Melbourne,"Water Quality Test","Glenrock State Conservation Area",480.51
Darwin,"Water Quality Test","Merewether Beach",480.43
Sydney,"Air Quality Check","Awaba State Forest",480.42
Hobart,"Soil Quality Test","Nobbys Beach",480.41
Sydney,"Water Quality Test","Merewether Beach",480.4
Perth,"Noise Level Measurement","Glenrock State Conservation Area",480.4
Adelaide,"Noise Level Measurement","King Edward Park",480.37
Perth,"Soil Quality Test","Richley Reserve",480.34
Melbourne,"Noise Level Measurement","Richley Reserve",480.27
Canberra,"Water Quality Test","Glenrock State Conservation Area",480.25
Perth,"Soil Quality Test","Croudace Bay Park",480.25
Sydney,"Noise Level Measurement","Redhead Beach",480.21
Melbourne,"Soil Quality Test","Newcastle Beach",480.2
Brisbane,"Noise Level Measurement","Braye Park",480.2
Perth,"Noise Level Measurement","Charlestown Park",480.2
Perth,"Noise Level Measurement","Croudace Bay Park",480.12
Sydney,"Air Quality Check","Belmont Wetlands State Park",480.08
Sydney,"Water Quality Test","Redhead Beach",480.05
Melbourne,"Soil Quality Test","Blackbutt Nature Reserve",479.98
Adelaide,"Air Quality Check","King Edward Park",479.96
Melbourne,"Water Quality Test","Croudace Bay Park",479.95
Hobart,"Air Quality Check","Waratah Park",479.84
Adelaide,"Soil Quality Test","Mount Sugarloaf",479.78
Melbourne,"Soil Quality Test","Heaton State Forest",479.74
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",479.73
Newcastle,"Air Quality Check","Heaton State Forest",479.73
Melbourne,"Soil Quality Test","Waratah Park",479.7
Canberra,"Soil Quality Test","Warners Bay Foreshore",479.67
Perth,"Water Quality Test","Waratah Park",479.66
Brisbane,"Noise Level Measurement","Merewether Beach",479.64
Perth,"Air Quality Check","Nobbys Beach",479.63
Brisbane,"Water Quality Test","Speers Point Park",479.62
Perth,"Noise Level Measurement","Charlestown Park",479.59
"Gold Coast","Water Quality Test","Redhead Beach",479.57
Sydney,"Soil Quality Test","Merewether Beach",479.56
Adelaide,"Soil Quality Test","Hunter Wetlands Centre",479.52
Newcastle,"Water Quality Test","Newcastle Beach",479.52
Sydney,"Water Quality Test","Toronto Foreshore",479.47
Darwin,"Water Quality Test","Awaba State Forest",479.44
Sydney,"Noise Level Measurement","Awaba State Forest",479.43
Sydney,"Noise Level Measurement","Toronto Foreshore",479.38
Perth,"Soil Quality Test","Waratah Park",479.38
Canberra,"Air Quality Check","Blackbutt Nature Reserve",479.37
Brisbane,"Noise Level Measurement","Toronto Foreshore",479.36
Newcastle,"Noise Level Measurement","Watagan Mountains",479.28
Adelaide,"Air Quality Check","Merewether Beach",479.21
"Gold Coast","Soil Quality Test","Redhead Beach",479.15
Brisbane,"Soil Quality Test","Jesmond Park",479.14
Brisbane,"Air Quality Check","Lambton Park",479.13
Sydney,"Soil Quality Test","Lambton Park",479.08
Perth,"Noise Level Measurement","Heaton State Forest",479.04
"Gold Coast","Water Quality Test","Belmont Wetlands State Park",479.02
Adelaide,"Water Quality Test","King Edward Park",479
Sydney,"Water Quality Test","Belmont Wetlands State Park",478.96
Newcastle,"Water Quality Test","Warners Bay Foreshore",478.93
Brisbane,"Water Quality Test","Hunter Wetlands Centre",478.88
Sydney,"Air Quality Check","King Edward Park",478.85
Sydney,"Water Quality Test","Lambton Park",478.77
Melbourne,"Water Quality Test","Warners Bay Foreshore",478.76
Newcastle,"Air Quality Check","Watagan Mountains",478.71
Adelaide,"Air Quality Check","Newcastle Beach",478.68
Sydney,"Soil Quality Test","Toronto Foreshore",478.65
Darwin,"Soil Quality Test","Hunter Wetlands Centre",478.63
Sydney,"Soil Quality Test","Speers Point Park",478.63
"Gold Coast","Water Quality Test","King Edward Park",478.61
Darwin,"Noise Level Measurement","Belmont Wetlands State Park",478.61
Hobart,"Soil Quality Test","Nobbys Beach",478.54
Darwin,"Soil Quality Test","Belmont Wetlands State Park",478.51
Darwin,"Water Quality Test","Awaba State Forest",478.48
Adelaide,"Soil Quality Test","Merewether Beach",478.42
Sydney,"Water Quality Test","King Edward Park",478.42
Adelaide,"Noise Level Measurement","Lambton Park",478.4
Canberra,"Soil Quality Test","Belmont Wetlands State Park",478.28
Canberra,"Noise Level Measurement","Charlestown Park",478.25
Melbourne,"Air Quality Check","Blackbutt Nature Reserve",478.18
Hobart,"Noise Level Measurement","Jesmond Park",478.15
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",478.13
Perth,"Soil Quality Test","Charlestown Park",478.11
Brisbane,"Air Quality Check","Belmont Wetlands State Park",478.09
Hobart,"Air Quality Check","Croudace Bay Park",478.07
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",478.05
Darwin,"Air Quality Check","Awaba State Forest",478.03
Canberra,"Soil Quality Test","Glenrock State Conservation Area",477.89
Darwin,"Noise Level Measurement","Toronto Foreshore",477.84
Darwin,"Noise Level Measurement","Speers Point Park",477.71
Melbourne,"Air Quality Check","Watagan Mountains",477.67
Newcastle,"Noise Level Measurement","Lambton Park",477.65
Hobart,"Noise Level Measurement","Waratah Park",477.63
Perth,"Water Quality Test","Newcastle Beach",477.6
Canberra,"Water Quality Test","Heaton State Forest",477.57
Perth,"Water Quality Test","Warners Bay Foreshore",477.55
Melbourne,"Water Quality Test","Heaton State Forest",477.55
Darwin,"Water Quality Test","Toronto Foreshore",477.55
Adelaide,"Noise Level Measurement","King Edward Park",477.53
"Gold Coast","Soil Quality Test","King Edward Park",477.48
Canberra,"Noise Level Measurement","Newcastle Beach",477.46
Newcastle,"Noise Level Measurement","Heaton State Forest",477.45
Adelaide,"Air Quality Check","King Edward Park",477.42
"Gold Coast","Water Quality Test","King Edward Park",477.39
Brisbane,"Noise Level Measurement","Merewether Beach",477.33
Perth,"Water Quality Test","Watagan Mountains",477.31
Canberra,"Air Quality Check","Warners Bay Foreshore",477.27
Darwin,"Noise Level Measurement","Redhead Beach",477.25
Melbourne,"Air Quality Check","Jesmond Park",477.23
Darwin,"Water Quality Test","Braye Park",477.22
"Gold Coast","Water Quality Test","Redhead Beach",477.16
"Gold Coast","Soil Quality Test","King Edward Park",477.14
Darwin,"Soil Quality Test","Merewether Beach",477.14
Darwin,"Water Quality Test","Toronto Foreshore",477.09
Newcastle,"Water Quality Test","Richley Reserve",477.07
Perth,"Air Quality Check","Glenrock State Conservation Area",477.04
Hobart,"Air Quality Check","Belmont Wetlands State Park",477.02
Sydney,"Noise Level Measurement","Merewether Beach",477.01
Sydney,"Soil Quality Test","Lambton Park",477.01
Melbourne,"Water Quality Test","Warners Bay Foreshore",476.99
Brisbane,"Soil Quality Test","Warners Bay Foreshore",476.91
"Gold Coast","Air Quality Check","King Edward Park",476.89
Melbourne,"Soil Quality Test","Charlestown Park",476.86
Melbourne,"Soil Quality Test","Nobbys Beach",476.86
Adelaide,"Air Quality Check","Lambton Park",476.81
Sydney,"Soil Quality Test","Hunter Wetlands Centre",476.73
Brisbane,"Noise Level Measurement","Merewether Beach",476.71
Darwin,"Air Quality Check","Belmont Wetlands State Park",476.69
Sydney,"Soil Quality Test","Lambton Park",476.68
Perth,"Air Quality Check","Croudace Bay Park",476.66
Hobart,"Soil Quality Test","Glenrock State Conservation Area",476.65
Perth,"Soil Quality Test","Jesmond Park",476.6
Perth,"Noise Level Measurement","Richley Reserve",476.58
Melbourne,"Soil Quality Test","Waratah Park",476.57
Adelaide,"Water Quality Test","Merewether Beach",476.57
Darwin,"Water Quality Test","Hunter Wetlands Centre",476.48
Canberra,"Air Quality Check","Glenrock State Conservation Area",476.43
Adelaide,"Noise Level Measurement","Lambton Park",476.43
Brisbane,"Noise Level Measurement","Toronto Foreshore",476.42
Darwin,"Water Quality Test","Hunter Wetlands Centre",476.18
Hobart,"Water Quality Test","Newcastle Beach",476.15
"Gold Coast","Noise Level Measurement","Speers Point Park",476.04
Sydney,"Soil Quality Test","Redhead Beach",476.02
Melbourne,"Soil Quality Test","Jesmond Park",476.01
Hobart,"Soil Quality Test","Newcastle Beach",476
Darwin,"Water Quality Test","Lambton Park",475.89
Canberra,"Air Quality Check","Waratah Park",475.89
Newcastle,"Noise Level Measurement","Warners Bay Foreshore",475.88
Melbourne,"Water Quality Test","Nobbys Beach",475.88
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",475.87
Darwin,"Air Quality Check","Braye Park",475.85
Brisbane,"Water Quality Test","Merewether Beach",475.79
Darwin,"Noise Level Measurement","Lambton Park",475.66
Newcastle,"Soil Quality Test","Warners Bay Foreshore",475.66
Darwin,"Soil Quality Test","King Edward Park",475.62
Brisbane,"Water Quality Test","Merewether Beach",475.51
Brisbane,"Noise Level Measurement","Awaba State Forest",475.47
Brisbane,"Noise Level Measurement","Lambton Park",475.47
Darwin,"Water Quality Test","Awaba State Forest",475.43
Canberra,"Water Quality Test","King Edward Park",475.42
Newcastle,"Soil Quality Test","Jesmond Park",475.41
Brisbane,"Water Quality Test","Awaba State Forest",475.4
Adelaide,"Soil Quality Test","Mount Sugarloaf",475.36
Canberra,"Air Quality Check","Watagan Mountains",475.29
Melbourne,"Air Quality Check","Jesmond Park",475.28
"Gold Coast","Water Quality Test","Mount Sugarloaf",475.25
Brisbane,"Noise Level Measurement","Redhead Beach",475.24
Canberra,"Noise Level Measurement","Richley Reserve",475.21
Adelaide,"Water Quality Test","Braye Park",475.15
Brisbane,"Noise Level Measurement","Redhead Beach",475.14
"Gold Coast","Air Quality Check","Mount Sugarloaf",475.11
Adelaide,"Soil Quality Test","King Edward Park",475.1
Newcastle,"Water Quality Test","Warners Bay Foreshore",475.06
Hobart,"Soil Quality Test","Richley Reserve",475.03
Adelaide,"Water Quality Test","Merewether Beach",474.97
Canberra,"Water Quality Test","Warners Bay Foreshore",474.92
Brisbane,"Air Quality Check","Lambton Park",474.9
Canberra,"Noise Level Measurement","Croudace Bay Park",474.85
Newcastle,"Noise Level Measurement","Heaton State Forest",474.84
Hobart,"Air Quality Check","Jesmond Park",474.82
Melbourne,"Soil Quality Test","Warners Bay Foreshore",474.81
Darwin,"Soil Quality Test","Speers Point Park",474.76
Sydney,"Air Quality Check","Mount Sugarloaf",474.68
Newcastle,"Water Quality Test","Blackbutt Nature Reserve",474.64
Adelaide,"Water Quality Test","Watagan Mountains",474.62
Canberra,"Water Quality Test","Newcastle Beach",474.62
Sydney,"Water Quality Test","Mount Sugarloaf",474.62
Canberra,"Water Quality Test","Richley Reserve",474.61
Canberra,"Water Quality Test","Richley Reserve",474.49
Canberra,"Water Quality Test","Waratah Park",474.44
"Gold Coast","Water Quality Test","Mount Sugarloaf",474.44
Melbourne,"Noise Level Measurement","Charlestown Park",474.43
